company_name	feature	feature_value	shap_value	rank
IMPOSSIBLE SOFTWARE GMBH	Consolidation code LF	True	-0.08186531811952591	2
SMART HYDRO POWER GMBH	Of which cash and cash equivalent  (Last avail. yr)	543.33	0.5246789455413818	1
SMART HYDRO POWER GMBH	Solvency ratio  Asset based	0.3471349585322944	-0.2721100449562073	2
SMART HYDRO POWER GMBH	Non current assets	-0.8132501541818872	0.19890283048152924	3
SMART HYDRO POWER GMBH	Capital	0.0	-0.19185656309127808	4
SMART HYDRO POWER GMBH	Number of employees (Last avail. yr)	1.0	-0.16521698236465454	5
WHIPCAR LTD	Capital	2.206175882977049	0.7603825330734253	1
WHIPCAR LTD	Capital  (Last avail. yr)	3566206.51021394	-0.34366682171821594	2
WHIPCAR LTD	Of which cash and cash equivalent  (Last avail. yr)	1441306.39312453	-0.22022801637649536	3
WHIPCAR LTD	Creditors  (Last avail. yr)	0.0	0.215086430311203	4
WHIPCAR LTD	Tangible fixed assets  (Last avail. yr)	263058.967384262	0.21499349176883698	5
USE IT BETTER SP. Z O.O.	Capital	0.07975314604007841	0.8222074508666992	1
USE IT BETTER SP. Z O.O.	Debtors	1.159506292080153	-0.5390455722808838	2
USE IT BETTER SP. Z O.O.	P/L before tax  (Last avail. yr)	197784.048639094	-0.4471784234046936	3
USE IT BETTER SP. Z O.O.	Current liabilities  (Last avail. yr)	36797.0323049476	0.2194046974182129	4
CHRISTOPHER O LTD	Consolidation code LF	False	0.06415148079395294	1
CHRISTOPHER O LTD	Consolidation code NF	True	-0.031656671315431595	2
CHRISTOPHER O LTD	Quoted Yes	False	0.023044900968670845	3
SARANTEL PLC	Consolidation code NF	True	-0.361068457365036	1
SARANTEL PLC	NACE na	True	0.2601965069770813	2
SARANTEL PLC	Consolidation code LF	False	0.04895012825727463	3
SARANTEL PLC	Quoted Yes	False	0.023554867133498192	4
FAIRPHONE B.V.	Capital	0.8087818696883853	1.0379847288131714	1
FAIRPHONE B.V.	Of which cash and cash equivalent  (Last avail. yr)	4888196.0	-0.5623713731765747	2
FAIRPHONE B.V.	Current liabilities  (Last avail. yr)	22330806.0	-0.3382833003997803	3
FAIRPHONE B.V.	Number of employees (Last avail. yr)	129.0	-0.30883944034576416	4
FAIRPHONE B.V.	Operating revenue  Turnover   (Last avail. yr)	54798059.0	-0.30340254306793213	5
BUTLER BARCELONA S.L.	Consolidation code NF	True	-0.40984246134757996	1
BUTLER BARCELONA S.L.	Consolidation code U1	False	0.05449486896395683	2
BUTLER BARCELONA S.L.	Quoted Yes	False	0.02213713712990284	3
FUNNEL ANALYTICS TECHNOLOGIES LIMITED	NACE na	True	1.0058462619781494	1
FUNNEL ANALYTICS TECHNOLOGIES LIMITED	Capital	0.0	-0.34214961528778076	2
FUNNEL ANALYTICS TECHNOLOGIES LIMITED	Consolidation code NF	False	0.14853458106517792	3
FUNNEL ANALYTICS TECHNOLOGIES LIMITED	Other shareholders funds	-0.3936324167872648	-0.12533080577850342	4
TELEPATH LIMITED	Capital	8.113464852508752	1.6105875968933105	1
TELEPATH LIMITED	Shareholders funds	-12.11275981089953	0.254997581243515	2
TELEPATH LIMITED	Tangible fixed assets  (Last avail. yr)	3675.10050268988	-0.24438714981079102	3
TELEPATH LIMITED	Capital  (Last avail. yr)	1092.37402473912	0.23338523507118225	4
TELEPATH LIMITED	Creditors  (Last avail. yr)	0.0	0.22696024179458618	5
SMARTER GRID SOLUTIONS LIMITED	Capital	0.02518454079940786	-0.8098405599594116	1
SMARTER GRID SOLUTIONS LIMITED	Number of employees (Last avail. yr)	132.0	-0.5595600605010986	2
SMARTER GRID SOLUTIONS LIMITED	Number of employees	0.2222222222222222	-0.37595826387405396	3
SMARTER GRID SOLUTIONS LIMITED	Other current assets  (Last avail. yr)	5877500.45356879	-0.32911428809165955	4
SMARTER GRID SOLUTIONS LIMITED	Intangible assets	1.333602803647079	0.2936732769012451	5
AO REALISATIONS LIMITED	Consolidation code LF	False	0.06385833024978638	1
AO REALISATIONS LIMITED	Consolidation code U1	False	-0.04567313939332962	2
AO REALISATIONS LIMITED	Quoted Yes	False	0.023845450952649117	3
SHINE ANALYTICS LIMITED	Number of employees (Last avail. yr)	144.0	-0.5431420803070068	1
SHINE ANALYTICS LIMITED	Solvency ratio  Asset based	1.569180665066849	-0.39179548621177673	2
SHINE ANALYTICS LIMITED	Current liabilities  (Last avail. yr)	11571737.0	-0.3832429349422455	3
SHINE ANALYTICS LIMITED	Other shareholders funds	1.453267759663773	0.3511427342891693	4
TRIOGEN GROUP B.V.	Debtors  (Last avail. yr)	755004.0	-0.21184511482715607	1
TRIOGEN GROUP B.V.	Solvency ratio  Asset based  (Last avail. yr)	85.437	-0.1810004711151123	2
TRIOGEN GROUP B.V.	Tangible fixed assets  (Last avail. yr)	868659.0	0.14783932268619537	3
TRIOGEN GROUP B.V.	Debtors	0.2378636717629217	-0.13001474738121033	4
VOXPOPME LIMITED	Capital	-0.9913176468583352	0.8635101914405823	1
VOXPOPME LIMITED	Solvency ratio  Asset based	4.461821527138914	-0.5797340273857117	2
VOXPOPME LIMITED	Other shareholders funds	-2.573148005056368	0.22742454707622528	3
VOXPOPME LIMITED	Tangible fixed assets  (Last avail. yr)	1945.47573482513	-0.21190594136714935	4
VOXPOPME LIMITED	Other non current assets  (Last avail. yr)	2517392.58434488	-0.20384977757930756	5
NAROM LIMITED	Capital  (Last avail. yr)	0.0	-0.5104259252548218	1
NAROM LIMITED	Other shareholders funds	-0.3114801766285054	-0.2510172724723816	2
NAROM LIMITED	Total assets	1.152359990217657	-0.14661180973052979	3
HUCKLETREE LTD	Number of employees (Last avail. yr)	62.0	-0.3497313857078552	1
HUCKLETREE LTD	Current liabilities  (Last avail. yr)	17016055.5159225	-0.34309902787208557	2
HUCKLETREE LTD	Tangible fixed assets  (Last avail. yr)	11575453.3630954	0.2983907461166382	3
HUCKLETREE LTD	Of which cash and cash equivalent  (Last avail. yr)	1970480.04894387	-0.27226653695106506	4
HUCKLETREE LTD	Other current assets  (Last avail. yr)	6463972.37346844	-0.2631373107433319	5
WISE CONNECT, S.A.	Capital	0.25	0.5566771030426025	1
WISE CONNECT, S.A.	Solvency ratio  Asset based	1.218444505516077	-0.5036429762840271	2
WISE CONNECT, S.A.	Non current liabilities	-0.4991641112577307	-0.4617691934108734	3
WISE CONNECT, S.A.	Number of employees	0.2222222222222222	-0.4043717086315155	4
BINX HEALTH LIMITED	Capital  (Last avail. yr)	0.0	-0.6518698334693909	1
BINX HEALTH LIMITED	Number of employees (Last avail. yr)	93.0	-0.4730319082736969	2
BINX HEALTH LIMITED	Of which cash and cash equivalent  (Last avail. yr)	10005506.7895595	-0.40185704827308655	3
BINX HEALTH LIMITED	Other current assets  (Last avail. yr)	11594083.3872847	-0.357602059841156	4
BINX HEALTH LIMITED	Current liabilities  (Last avail. yr)	23523795.9148173	-0.24151796102523804	5
LUMEJET HOLDINGS LIMITED	Capital	0.3565493359287414	1.164033055305481	1
LUMEJET HOLDINGS LIMITED	Creditors  (Last avail. yr)	0.0	0.3574667274951935	2
LUMEJET HOLDINGS LIMITED	Current liabilities  (Last avail. yr)	71207.2153141988	0.24187511205673218	3
LUMEJET HOLDINGS LIMITED	Other shareholders funds  (Last avail. yr)	10149772.8546816	-0.23739483952522278	4
LUMEJET HOLDINGS LIMITED	Net current assets  (Last avail. yr)	10402786.6560974	-0.22650429606437683	5
MELTY	Consolidation code NF	True	-0.20087552070617676	1
MELTY	Consolidation code U1	False	-0.04081261530518532	2
MELTY	Quoted Yes	False	0.022529657930135727	3
SEVEN ENERGY (UK) LIMITED	Capital  (Last avail. yr)	0.0	-0.5585389137268066	1
SEVEN ENERGY (UK) LIMITED	Other current assets  (Last avail. yr)	11373827.1580697	-0.35983511805534363	2
SEVEN ENERGY (UK) LIMITED	Number of employees (Last avail. yr)	19.0	0.28646641969680786	3
SEVEN ENERGY (UK) LIMITED	Current liabilities  (Last avail. yr)	11356086.7374683	-0.2801065742969513	4
SEVEN ENERGY (UK) LIMITED	Shareholders funds	-1.017056584312512	0.2556159794330597	5
DESKOM	Debtors  (Last avail. yr)	1160468.0	-0.32018807530403137	1
DESKOM	Intangible assets	0.6062581681714112	0.31455063819885254	2
DESKOM	Non current assets	0.2332523364871867	-0.27905043959617615	3
DESKOM	Capital  (Last avail. yr)	1039258.0	0.24110408127307892	4
DESKOM	P/L for period   Net income   (Last avail. yr)	-1082326.0	0.2100117951631546	5
ICONTEXT	Number of employees (Last avail. yr)	131.0	-0.6643580198287964	1
ICONTEXT	Non current assets	0.2716971311873803	-0.34115907549858093	2
ICONTEXT	Number of employees	0.07377049180327869	-0.26740747690200806	3
ICONTEXT	Working capital  (Last avail. yr)	-4399821.11987369	0.2195720374584198	4
ICONTEXT	P/L for period   Net income   (Last avail. yr)	102284.814921693	-0.20200568437576294	5
MORGAN EVERETT LTD	Capital	-0.06738982925768215	2.0127768516540527	1
MORGAN EVERETT LTD	Non current assets	0.9033535270183912	-0.28999853134155273	2
MORGAN EVERETT LTD	Intangible assets	0.7548423032659494	0.21977300941944122	3
MORGAN EVERETT LTD	Capital  (Last avail. yr)	480323.529542814	0.17908750474452972	4
SATISPAY SPA	Number of employees (Last avail. yr)	246.0	-1.101242184638977	1
SATISPAY SPA	Capital	0.01623698446969908	-0.8292011618614197	2
